pred,resp,E,r_G4,r16,r50,r84,r_xcom
Nitrogen,LAC,1.0,-0.6281727201921771,-0.6451855737640261,-0.6267216225477249,-0.6084267616768355,-0.6159272336963824
Nitrogen,LAC,10.0,-0.6254970326758531,-0.6522691489713861,-0.6217671769382019,-0.5902635759714843,-0.6104800143903858
Nitrogen,LAC,15.0,-0.5750105664238104,-0.6038451301982586,-0.5711773718644115,-0.5382215498590286,-0.6082168488300037
Nitrogen,Zeff,0.01,0.9162163192037985,0.9162163192037985,0.9162163192037985,0.9162163192037985,0.9162163192037985
Nitrogen,Zeff,0.03,0.07404322297910315,0.07404322297910315,0.07404322297910315,0.07404322297910315,0.07404322297910315
Nitrogen,Zeff,0.05,-0.2570954672349078,-0.2570954672349078,-0.2570954672349078,-0.2570954672349078,-0.2570954672349078
Nitrogen,Zeff,0.08,-0.35563505235856935,-0.35563505235856935,-0.35563505235856935,-0.35563505235856935,-0.35563505235856935
Nitrogen,Zeff,0.1,-0.3729393191568298,-0.3729393191568298,-0.3729393191568298,-0.3729393191568298,-0.3729393191568298
Nitrogen,Zeff,1.0,-0.39253410674741307,-0.39253410674741307,-0.39253410674741307,-0.39253410674741307,-0.39253410674741307
Nitrogen,Zeff,10.0,-0.4116398500866735,-0.4116398500866735,-0.4116398500866735,-0.4116398500866735,-0.4116398500866735
Nitrogen,Zeff,15.0,-0.4218883379632808,-0.4218883379632808,-0.4218883379632808,-0.4218883379632808,-0.4218883379632808
Sulfur,MAC,0.01,0.5107713716692995,0.48915728998558783,0.5104582017372072,0.5316680527093763,0.4603289048756853
Sulfur,MAC,0.03,0.7664575902551207,0.740249112475816,0.7645740034508921,0.7859638601497949,0.7448511401142006
Sulfur,MAC,0.05,0.8641151880386534,0.7396298344784333,0.8136244650555546,0.873915811055153,0.9664522280032444
Sulfur,MAC,0.08,0.439213644867897,0.2536432267192738,0.3980171221136108,0.5406148121140693,0.5840305669747263
