condition,value,E_MeV,mixture,d_mfp,B_exposure,T_primary,T_broad,T_broad_using_Geant4_MAC
thickness_cm,1,1,3,0.095716783080137,,,,
thickness_cm,1,1,4,0.09422928459530026,,,,
thickness_cm,1,1,5,0.08828119553914676,,,,
thickness_cm,1,1,6,0.09014876769631357,,,,
thickness_cm,1,1,7,0.09210360565429282,,,,
thickness_cm,1,1,8,0.09311514102393702,,,,
thickness_cm,1,1,9,0.09415049161943394,,,,
thickness_cm,1,1,10,0.0962960837856402,,,,
thickness_cm,1,1.173,1,0.08418186790927773,,,,
thickness_cm,1,1.173,2,0.08035569084418483,,,,
thickness_cm,1,1.173,3,0.08843259155570082,,,,
thickness_cm,1,1.173,4,0.087059091383812,,,,
thickness_cm,1,1.173,5,0.08156765436006842,,,,
thickness_cm,1,1.173,6,0.0832908699591092,,,,
thickness_cm,1,1.173,7,0.0850933606730001,,,,
thickness_cm,1,1.173,8,0.08602606361296175,,,,
thickness_cm,1,1.173,9,0.08698072577633295,,,,
thickness_cm,1,1.173,10,0.08896051933359372,,,,
thickness_cm,1,1.33,1,0.07892325323111729,,,,
thickness_cm,1,1.33,2,0.07533480731004827,,,,
thickness_cm,1,1.33,3,0.08290854683303253,,,,
thickness_cm,1,1.33,4,0.08162102349869452,,,,
thickness_cm,1,1.33,5,0.07646830499629417,,,,
thickness_cm,1,1.33,6,0.0780874169626617,,,,
thickness_cm,1,1.33,7,0.07977966516061091,,,,
thickness_cm,1,1.33,8,0.08065464016635605,,,,
thickness_cm,1,1.33,9,0.0815515967275108,,,,
thickness_cm,1,1.33,10,0.08340897547441715,,,,
thickness_cm,1,1.5,1,0.07415433953922554,,,,
thickness_cm,1,1.5,2,0.07078177883250172,,,,
thickness_cm,1,1.5,3,0.07789987309392188,,,,
thickness_cm,1,1.5,4,0.07668995300261097,,,,
thickness_cm,1,1.5,5,0.07184895511716667,,,,
thickness_cm,1,1.5,6,0.07336815951634003,,,,
thickness_cm,1,1.5,7,0.07495860334444271,,,,
thickness_cm,1,1.5,8,0.07578158213866523,,,,
thickness_cm,1,1.5,9,0.07662393685037376,,,,
thickness_cm,1,1.5,10,0.07836957709868146,,,,
thickness_cm,1,2,1,0.06363444151267979,,,,
thickness_cm,1,2,2,0.06073113646505213,,,,
thickness_cm,1,2,3,0.06685741611835094,,,,
thickness_cm,1,2,4,0.0658165953002611,,,,
thickness_cm,1,2,5,0.061648966068422836,,,,
thickness_cm,1,2,6,0.0629572955216729,,,,
thickness_cm,1,2,7,0.06432581359422629,,,,
thickness_cm,1,2,8,0.06503463909132579,,,,
thickness_cm,1,2,9,0.06575877146386329,,,,
thickness_cm,1,2,10,0.06726083031421298,,,,
thickness_cm,1,2.51,1,0.05622888163858934,,,,
thickness_cm,1,2.51,2,0.053658790921260795,,,,
thickness_cm,1,2.51,3,0.05908319972430259,,,,
thickness_cm,1,2.51,4,0.05816440731070496,,,,
thickness_cm,1,2.51,5,0.05447348990143176,,,,
thickness_cm,1,2.51,6,0.05562971490750723,,,,
thickness_cm,1,2.51,7,0.056840480774386186,,,,
thickness_cm,1,2.51,8,0.05746767703207598,,,,
thickness_cm,1,2.51,9,0.05810825831567576,,,,
thickness_cm,1,2.51,10,0.05943717140971595,,,,
thickness_cm,1,3,1,0.05103164637560156,,,,
thickness_cm,1,3,2,0.0486873554825362,,,,
thickness_cm,1,3,3,0.05363660146091208,,,,
thickness_cm,1,3,4,0.05280134725848564,,,,
thickness_cm,1,3,5,0.04942962434905484,,,,
thickness_cm,1,3,6,0.050485631937641925,,,,
thickness_cm,1,3,7,0.05159156996725346,,,,
thickness_cm,1,3,8,0.05216315743622872,,,,
thickness_cm,1,3,9,0.052748202155515476,,,,
thickness_cm,1,3,10,0.05396061017656803,,,,
thickness_cm,1,4,1,0.04366745088999703,,,,
thickness_cm,1,4,2,0.041641635836274386,,,,
thickness_cm,1,4,3,0.0459187097645203,,,,
thickness_cm,1,4,4,0.04519916449086162,,,,
thickness_cm,1,4,5,0.04228511589075066,,,,
thickness_cm,1,4,6,0.04319631200727367,,,,
thickness_cm,1,4,7,0.04415077663227718,,,,
thickness_cm,1,4,8,0.044643983841806366,,,,
thickness_cm,1,4,9,0.04514880294493771,,,,
thickness_cm,1,4,10,0.046196371466282374,,,,
thickness_cm,1,5,1,0.03881981142647081,,,,
thickness_cm,1,5,2,0.036998586467080444,,,,
thickness_cm,1,5,3,0.04084103827078034,,,,
thickness_cm,1,5,4,0.04019864229765013,,,,
thickness_cm,1,5,5,0.03757802417034364,,,,
thickness_cm,1,5,6,0.038396575191585035,,,,
thickness_cm,1,5,7,0.03925278297861694,,,,
thickness_cm,1,5,8,0.039695829655100975,,,,
thickness_cm,1,5,9,0.04014930726359234,,,,
thickness_cm,1,5,10,0.04108906429716225,,,,
thickness_cm,1,6,1,0.03539857619815227,,,,
thickness_cm,1,6,2,0.033721065271185756,,,,
thickness_cm,1,6,3,0.03726160373470519,,,,
