kind,mix,E_MeV,Zeq_EpiXS,Zeq_epixs_cli,max_abs_rel_diff_%_1to40mfp,rel_diff_%_at_40mfp,error
exposure,1,8.0,5.99379,5.993756858278264,0.0002728374477012352,0.0002728374477012352,
exposure,1,10.0,5.99177,5.99098338177228,0.0014388160973433095,-0.0014388160973433095,
exposure,1,15.0,5.99049,5.990881608874166,0.0012787506572964347,0.0008184126009558312,
exposure,2,0.015,6.51499,6.515878728005804,0.0449801969603425,-0.0449801969603425,
exposure,2,0.02,6.52812,6.529612037596864,0.1529346001150511,-0.1529346001150511,
exposure,2,0.03,6.53385,6.534363254407392,0.09161966291718615,-0.09161966291718615,
exposure,2,0.04,6.5357,6.536871441508394,0.2589006938866989,-0.2589006938866989,
exposure,2,0.05,6.53812,6.539749130820867,0.36257998272779535,-0.36257998272779535,
exposure,2,0.06,6.54153,6.542972445651762,0.30157532311029245,-0.30157532311029245,
exposure,2,0.08,6.54811,6.548182465637673,0.013576048242402994,-0.013576048242402994,
exposure,2,0.1,6.55157,6.55226254590741,0.10222542769923182,-0.10222542769923182,
exposure,2,0.15,6.5534,6.5582509397415505,0.519314337233634,-0.519314337233634,
exposure,2,0.2,6.55707,6.559139632754321,0.20378398104720086,-0.20378398104720086,
exposure,2,0.3,6.56218,6.564189618477592,0.13374361231593968,-0.13374361231593968,
exposure,2,0.4,6.56399,6.565932573278094,0.08995258564534758,-0.08000591459648154,
exposure,2,0.5,6.56452,6.566834071046837,0.11309743858983756,-0.11309743858983756,
exposure,2,0.6,6.5652,6.567350961539707,0.0665279051783374,-0.055298118351154724,
exposure,2,0.8,6.56491,6.567403830834181,0.04608931629723756,-0.04365055971277121,
exposure,2,1.0,6.56684,6.567959415794207,0.019321800650096144,-0.018979862499424183,
exposure,2,1.5,5.9087,5.914033152682441,0.10597972513970433,-0.10597972513970433,
exposure,2,2.0,5.88342,5.887373408166846,0.030701811568256687,-0.030701811568256687,
exposure,2,3.0,5.87584,5.88072719667521,0.020701529757005677,-0.016832718924386647,
exposure,2,4.0,5.87256,5.877024832069662,0.011890728112817772,-0.006857939819626679,
exposure,2,5.0,5.87171,5.876405009260784,0.01040944015914258,-0.0047286549295755265,
exposure,2,6.0,5.87047,5.875243595371523,0.012783953714712304,0.012783953714712304,
exposure,2,8.0,5.868,5.872412454412693,0.011351207699261678,0.0006740486668821433,
exposure,2,10.0,5.86653,5.870472951922425,0.005338907355234568,0.005338907355234568,
exposure,2,15.0,5.86578,5.870563191683166,0.01527668033947105,0.010146589750714696,
exposure,3,0.015,6.72408,6.722358712733974,0.08613580052099223,0.08613580052099223,
exposure,3,0.02,6.7378,6.736980328763074,0.08654709462554422,0.08654709462554422,
exposure,3,0.03,6.74929,6.746960028063891,0.48252350595723303,0.48252350595723303,
exposure,3,0.04,6.75421,6.7528963172197,0.36342739703822957,0.36342739703822957,
exposure,3,0.05,6.75815,6.757371004014736,0.2012912166476033,0.2012912166476033,
