set,material,E_MeV,F_photoelectric,F_incoherent,F_coherent,F_pair,mac_total_cm2_g
new,Mix6,1.5,0.000023,0.998047,0.000368,0.001562,0.055610
new,Mix6,2,0.000017,0.992494,0.000241,0.007248,0.047719
new,Mix6,2.51,0.000014,0.983839,0.000173,0.015974,0.042165
new,Mix6,3,0.000012,0.973660,0.000134,0.026194,0.038266
new,Mix6,4,0.000010,0.949248,0.000088,0.050655,0.032741
new,Mix6,5,0.000008,0.922273,0.000063,0.077655,0.029103
new,Mix6,6,0.000007,0.894037,0.000048,0.105907,0.026535
new,Mix6,7,0.000006,0.865712,0.000038,0.134244,0.024630
new,Mix6,8,0.000006,0.837758,0.000031,0.162205,0.023164
new,Mix6,9,0.000005,0.810487,0.000026,0.189482,0.022010
new,Mix6,10,0.000005,0.784219,0.000022,0.215755,0.021074
new,Mix6,11,0.000005,0.759082,0.000019,0.240895,0.020308
new,Mix6,12,0.000004,0.735078,0.000016,0.264901,0.019668
new,Mix6,13,0.000004,0.712033,0.000014,0.287948,0.019126
new,Mix6,14,0.000004,0.690158,0.000013,0.309826,0.018669
new,Mix6,15,0.000004,0.669333,0.000011,0.330652,0.018276
new,Mix7,0.01,0.913287,0.037938,0.048775,0.000000,3.931354
new,Mix7,0.015,0.781910,0.129127,0.088963,0.000000,1.272421
new,Mix7,0.02,0.615393,0.267826,0.116781,0.000000,0.642672
new,Mix7,0.03,0.328713,0.549354,0.121933,0.000000,0.323189
new,Mix7,0.04,0.170905,0.729934,0.099161,0.000000,0.242707
new,Mix7,0.05,0.094583,0.828623,0.076795,0.000000,0.210758
new,Mix7,0.06,0.056405,0.883685,0.059909,0.000000,0.193864
new,Mix7,0.08,0.024188,0.937026,0.038787,0.000000,0.175147
new,Mix7,0.1,0.012416,0.960449,0.027136,0.000000,0.163628
new,Mix7,0.15,0.003723,0.982327,0.013950,0.000000,0.144871
new,Mix7,0.2,0.001617,0.989696,0.008687,0.000000,0.132056
new,Mix7,0.3,0.000528,0.994985,0.004486,0.000000,0.114444
new,Mix7,0.356,0.000339,0.996255,0.003406,0.000000,0.107225
new,Mix7,0.4,0.000253,0.996920,0.002827,0.000000,0.102416
new,Mix7,0.5,0.000150,0.997866,0.001985,0.000000,0.093482
new,Mix7,0.511,0.000143,0.997940,0.001918,0.000000,0.092627
new,Mix7,0.6,0.000101,0.998408,0.001492,0.000000,0.086435
new,Mix7,0.662,0.000082,0.998638,0.001280,0.000000,0.082757
new,Mix7,0.8,0.000058,0.998986,0.000956,0.000000,0.075903
new,Mix7,1,0.000040,0.999279,0.000681,0.000000,0.068241
new,Mix7,1.173,0.000030,0.999347,0.000536,0.000087,0.063047
new,Mix7,1.33,0.000026,0.998977,0.000444,0.000552,0.059110
new,Mix7,1.5,0.000023,0.998031,0.000372,0.001575,0.055538
new,Mix7,2,0.000017,0.992431,0.000244,0.007309,0.047660
new,Mix7,2.51,0.000013,0.983705,0.000175,0.016106,0.042114
new,Mix7,3,0.000012,0.973445,0.000135,0.026408,0.038225
new,Mix7,4,0.000009,0.948852,0.000089,0.051050,0.032712
new,Mix7,5,0.000008,0.921693,0.000064,0.078235,0.029083
new,Mix7,6,0.000007,0.893280,0.000049,0.106665,0.026522
