set,material,E_MeV,Zeq,B_1mfp,B_2mfp,B_3mfp,B_4mfp,B_5mfp,B_6mfp,B_7mfp,B_8mfp,B_9mfp,B_10mfp,B_11mfp,B_12mfp,B_15mfp,B_20mfp,B_25mfp,B_30mfp,B_35mfp,B_40mfp
new,Mix1,0.3,7.07340,2.84569,6.2153,11.3682,18.6703,28.5092,41.2733,57.3376,77.0517,100.732,128.658,161.068,198.169,339.362,687.124,1224.74,2053.02,3219.85,4539.53
new,Mix1,0.356,7.07689,2.71297,5.71939,10.1805,16.3408,24.4528,34.7605,47.4898,62.8411,80.9859,102.065,126.189,153.445,254.659,493.799,847.911,1372.71,2085.67,2865.14
new,Mix1,0.4,7.07901,2.62252,5.39135,9.41156,14.8593,21.9127,30.7379,41.4823,54.2696,69.1979,86.3399,105.745,127.442,206.444,386.801,644.298,1013.5,1499.39,2013.66
new,Mix1,0.5,7.08190,2.46348,4.83431,8.14259,12.4749,17.9155,24.5372,32.3969,41.5343,51.9721,63.7167,76.7614,91.0895,141.556,250.497,397.418,597.503,847.489,1098.11
new,Mix1,0.511,7.08198,2.45153,4.78933,8.0378,12.277,17.5846,24.0274,31.6569,40.5083,50.6003,61.9366,74.5086,88.2981,136.748,240.906,380.744,570.405,806.733,1043.59
new,Mix1,0.6,7.08349,2.36336,4.46339,7.2879,10.8745,15.2599,20.4721,26.5291,33.4371,41.1922,49.781,59.1827,69.3718,104.398,176.935,270.332,392.258,539.907,685.841
new,Mix1,0.662,7.08718,2.30859,4.27718,6.87996,10.1383,14.0736,18.7004,24.0253,30.0461,36.7526,44.1278,52.1498,60.7933,90.2076,150.176,226.226,324.175,441.478,556.841
new,Mix1,0.8,7.08477,2.20308,3.92857,6.13125,8.80831,11.9586,15.5778,19.6565,24.1812,29.134,34.4938,40.2378,46.3427,66.6096,106.269,154.48,214.239,283.386,349.609
new,Mix1,1,7.08576,2.10764,3.59888,5.42075,7.55756,9.99762,12.729,15.7385,19.0114,22.5316,26.2824,30.2466,34.4075,47.9231,73.3828,102.842,137.705,177.336,216.414
new,Mix1,1.173,6.60159,2.035,3.38523,4.99831,6.85558,8.94299,11.2473,13.755,16.4523,19.3251,22.3593,25.5412,28.8578,39.5084,59.2761,81.9427,108.568,138.492,167.707
