set,material,E_MeV,Zeff_direct
old,Mix6,0.04,4.117254
old,Mix6,0.05,3.948937
old,Mix6,0.06,3.865668
old,Mix6,0.08,3.792618
old,Mix6,0.1,3.763129
old,Mix6,0.15,3.737292
old,Mix6,0.2,3.729440
old,Mix6,0.3,3.723908
old,Mix6,0.356,3.722442
old,Mix6,0.4,3.721745
old,Mix6,0.5,3.721025
old,Mix6,0.511,3.720958
old,Mix6,0.6,3.720415
old,Mix6,0.662,3.720125
old,Mix6,0.8,3.719746
old,Mix6,1,3.719519
old,Mix6,1.173,3.719700
old,Mix6,1.33,3.720186
old,Mix6,1.5,3.721427
old,Mix6,2,3.729162
old,Mix6,2.51,3.740233
old,Mix6,3,3.755273
old,Mix6,4,3.787645
old,Mix6,5,3.823603
old,Mix6,6,3.861494
old,Mix6,7,3.899882
old,Mix6,8,3.938090
old,Mix6,9,3.975967
old,Mix6,10,4.012971
old,Mix6,11,4.048821
old,Mix6,12,4.083686
old,Mix6,13,4.117302
old,Mix6,14,4.150111
old,Mix6,15,4.181592
old,Mix7,0.01,6.796432
old,Mix7,0.015,6.186766
old,Mix7,0.02,5.504462
old,Mix7,0.03,4.589438
old,Mix7,0.04,4.190460
old,Mix7,0.05,4.013766
old,Mix7,0.06,3.926142
old,Mix7,0.08,3.849174
old,Mix7,0.1,3.818142
old,Mix7,0.15,3.790984
old,Mix7,0.2,3.782730
old,Mix7,0.3,3.776923
old,Mix7,0.356,3.775389
old,Mix7,0.4,3.774666
old,Mix7,0.5,3.773936
old,Mix7,0.511,3.773867
old,Mix7,0.6,3.773290
old,Mix7,0.662,3.772972
old,Mix7,0.8,3.772617
old,Mix7,1,3.772407
old,Mix7,1.173,3.772515
old,Mix7,1.33,3.773061
old,Mix7,1.5,3.774321
old,Mix7,2,3.782306
old,Mix7,2.51,3.793599
old,Mix7,3,3.809094
old,Mix7,4,3.842352
old,Mix7,5,3.879267
old,Mix7,6,3.918140
old,Mix7,7,3.957515
old,Mix7,8,3.996665
old,Mix7,9,4.035485
old,Mix7,10,4.073383
old,Mix7,11,4.110055
old,Mix7,12,4.145737
old,Mix7,13,4.180101
old,Mix7,14,4.213628
old,Mix7,15,4.245803
old,Mix8,0.01,6.845840
old,Mix8,0.015,6.242115
old,Mix8,0.02,5.560278
old,Mix8,0.03,4.635612
old,Mix8,0.04,4.228790
old,Mix8,0.05,4.047962
old,Mix8,0.06,3.958170
old,Mix8,0.08,3.879241
old,Mix8,0.1,3.847434
old,Mix8,0.15,3.819612
old,Mix8,0.2,3.811157
old,Mix8,0.3,3.805212
old,Mix8,0.356,3.803643
old,Mix8,0.4,3.802907
old,Mix8,0.5,3.802172
old,Mix8,0.511,3.802102
old,Mix8,0.6,3.801507
old,Mix8,0.662,3.801176
old,Mix8,0.8,3.800833
old,Mix8,1,3.800631
old,Mix8,1.173,3.800703
old,Mix8,1.33,3.801278
old,Mix8,1.5,3.802549
old,Mix8,2,3.810659
old,Mix8,2.51,3.822064
old,Mix8,3,3.837789
old,Mix8,4,3.871492
old,Mix8,5,3.908887
old,Mix8,6,3.948252
old,Mix8,7,3.988121
old,Mix8,8,4.027742
old,Mix8,9,4.067031
old,Mix8,10,4.105374
old,Mix8,11,4.142454
old,Mix8,12,4.178541
old,Mix8,13,4.213273
old,Mix8,14,4.247154
old,Mix8,15,4.279671
old,Mix9,0.01,6.893623
old,Mix9,0.015,6.295448
old,Mix9,0.02,5.614017
old,Mix9,0.03,4.679928
old,Mix9,0.04,4.265367
old,Mix9,0.05,4.080436
old,Mix9,0.06,3.988488
old,Mix9,0.08,3.907607
old,Mix9,0.1,3.875028
old,Mix9,0.15,3.846544
old,Mix9,0.2,3.837886
old,Mix9,0.3,3.831804
old,Mix9,0.356,3.830201
old,Mix9,0.4,3.829451
old,Mix9,0.5,3.828711
old,Mix9,0.511,3.828640
old,Mix9,0.6,3.828028
old,Mix9,0.662,3.827683
old,Mix9,0.8,3.827352
old,Mix9,1,3.827158
old,Mix9,1.173,3.827193
old,Mix9,1.33,3.827799
old,Mix9,1.5,3.829079
old,Mix9,2,3.837315
old,Mix9,2.51,3.848832
old,Mix9,3,3.864786
old,Mix9,4,3.898933
old,Mix9,5,3.936809
old,Mix9,6,3.976666
old,Mix9,7,4.017028
old,Mix9,8,4.057121
old,Mix9,9,4.096879
old,Mix9,10,4.135669
old,Mix9,11,4.173158
old,Mix9,12,4.209652
old,Mix9,13,4.244755
old,Mix9,14,4.278992
old,Mix9,15,4.311853
old,Mix10,0.01,6.986293
old,Mix10,0.015,6.400742
old,Mix10,0.02,5.722172
old,Mix10,0.03,4.771626
old,Mix10,0.04,4.342175
old,Mix10,0.05,4.149166
old,Mix10,0.06,4.052932
old,Mix10,0.08,3.968149
old,Mix10,0.1,3.934021
old,Mix10,0.15,3.904207
old,Mix10,0.2,3.895144
old,Mix10,0.3,3.888784
old,Mix10,0.356,3.887112
old,Mix10,0.4,3.886336
old,Mix10,0.5,3.885586
old,Mix10,0.511,3.885512
old,Mix10,0.6,3.884866
old,Mix10,0.662,3.884492
old,Mix10,0.8,3.884187
old,Mix10,1,3.884008
old,Mix10,1.173,3.883971
old,Mix10,1.33,3.884636
old,Mix10,1.5,3.885937
old,Mix10,2,3.894426
old,Mix10,2.51,3.906167
old,Mix10,3,3.922582
old,Mix10,4,3.957623
old,Mix10,5,3.996460
old,Mix10,6,4.037302
old,Mix10,7,4.078651
old,Mix10,8,4.119683
old,Mix10,9,4.160376
old,Mix10,10,4.200051
old,Mix10,11,4.238350
old,Mix10,12,4.275647
old,Mix10,13,4.311482
old,Mix10,14,4.346419
old,Mix10,15,4.379955
ref,water,0.01,7.571182
ref,water,0.015,6.801012
ref,water,0.02,5.893791
ref,water,0.03,4.585600
ref,water,0.04,3.980842
ref,water,0.05,3.707089
ref,water,0.06,3.570752
ref,water,0.08,3.450945
ref,water,0.1,3.403225
ref,water,0.15,3.362083
ref,water,0.2,3.349509
ref,water,0.3,3.340825
ref,water,0.356,3.338627
ref,water,0.4,3.337598
ref,water,0.5,3.336558
ref,water,0.511,3.336464
ref,water,0.6,3.335648
ref,water,0.662,3.335143
ref,water,0.8,3.335001
ref,water,1,3.334824
ref,water,1.173,3.334405
ref,water,1.33,3.335315
ref,water,1.5,3.336655
ref,water,2,3.347369
ref,water,2.51,3.360615
ref,water,3,3.381199
ref,water,4,3.423876
ref,water,5,3.471235
ref,water,6,3.521315
ref,water,7,3.572325
ref,water,8,3.623088
ref,water,9,3.673786
ref,water,10,3.723477
ref,water,11,3.771458
ref,water,12,3.818569
ref,water,13,3.864057
ref,water,14,3.908449
ref,water,15,3.951428
ref,PMMA,0.01,6.633172
ref,PMMA,0.015,5.973399
ref,PMMA,0.02,5.266031
ref,PMMA,0.03,4.364925
ref,PMMA,0.04,3.987699
ref,PMMA,0.05,3.823416
ref,PMMA,0.06,3.742463
ref,PMMA,0.08,3.671598
ref,PMMA,0.1,3.643043
ref,PMMA,0.15,3.617977
ref,PMMA,0.2,3.610396
ref,PMMA,0.3,3.605031
ref,PMMA,0.356,3.603590
ref,PMMA,0.4,3.602925
ref,PMMA,0.5,3.602298
ref,PMMA,0.511,3.602234
ref,PMMA,0.6,3.601665
