set,material,E_MeV,Zeq,B_1mfp,B_2mfp,B_3mfp,B_4mfp,B_5mfp,B_6mfp,B_7mfp,B_8mfp,B_9mfp,B_10mfp,B_11mfp,B_12mfp,B_15mfp,B_20mfp,B_25mfp,B_30mfp,B_35mfp,B_40mfp
new,Mix3,4,6.20463,1.64821,2.28954,2.92712,3.56224,4.19573,4.82819,5.46008,6.09175,6.72352,7.35562,7.98824,8.62156,10.5268,13.7217,16.9338,20.1382,23.2927,26.3466
new,Mix3,5,6.20344,1.57219,2.11601,2.64388,3.16076,3.66971,4.17291,4.67197,5.16817,5.66247,6.15566,6.64832,7.14088,8.62023,11.0861,13.509,15.8408,18.115,20.4481
new,Mix3,6,6.20196,1.52328,2.0065,2.46776,2.91411,3.34987,3.77802,4.20074,4.61973,5.03628,5.45142,5.8659,6.28032,7.5262,9.60681,11.6454,13.5993,15.5303,17.5863
new,Mix3,7,6.20063,1.47672,1.90957,2.31861,2.71156,3.09306,3.4663,3.83358,4.19665,4.55687,4.91525,5.27258,5.62943,6.69994,8.47653,10.1821,11.734,13.1441,14.5465
new,Mix3,8,6.19906,1.4364,1.82675,2.19231,2.54118,2.8782,3.20663,3.52884,3.84659,4.16126,4.47386,4.78521,5.09586,6.02668,7.56839,9.03724,10.3345,11.4316,12.4298
new,Mix3,9,6.19961,1.40159,1.75845,2.09138,2.40826,2.71377,3.01108,3.30244,3.58956,3.87371,4.15588,4.4368,4.71697,5.55547,6.93775,8.24629,9.42765,10.532,11.698
new,Mix3,10,6.19693,1.37049,1.69776,2.00201,2.29089,2.5689,2.83908,3.10361,3.36409,3.62173,3.87745,4.13191,4.38557,5.14366,6.38824,7.57099,8.69692,9.8708,11.2216
new,Mix3,11,6.19688,1.34803,1.65424,1.93825,2.20745,2.46622,2.71748,2.96332,3.20529,3.44458,3.68205,3.91838,4.15402,4.85893,6.01975,7.12266,8.15166,9.18702,10.3549
new,Mix3,12,6.19658,1.32753,1.61465,1.88038,2.13187,2.37335,2.60762,2.8367,3.0621,3.28493,3.50607,3.72616,3.94565,4.60286,5.68857,6.72248,7.6743,8.60099,9.62051
new,Mix3,13,6.19625,1.30867,1.57835,1.82743,2.06284,2.28863,2.50752,2.72145,2.93186,3.13983,3.3462,3.55161,3.7565,4.3705,5.388,6.36053,7.24865,8.08873,8.98732
new,Mix3,14,6.19676,1.29121,1.54482,1.77864,1.99933,2.2108,2.41566,2.61578,2.81253,3.00697,3.1999,3.39194,3.58353,4.15811,5.11313,6.02999,6.8638,7.63365,8.43302
new,Mix3,15,6.19623,1.27496,1.51371,1.73344,1.94058,2.13889,2.33087,2.51831,2.70254,2.88456,3.06517,3.24494,3.42433,3.96268,4.85995,5.72543,6.51152,7.22321,7.94046
new,Mix4,0.015,6.97356,1.23773,1.36511,1.45246,1.51918,1.57391,1.62111,1.66329,1.702,1.73818,1.77246,1.80524,1.83678,1.92514,2.05171,2.14703,2.21355,2.27047,2.33952
new,Mix4,0.02,7.01293,1.5404,1.8862,2.15069,2.36888,2.55789,2.72745,2.88352,3.02999,3.1695,3.30386,3.43434,3.56182,3.93107,4.50695,5.00945,5.41629,5.76645,6.14725
new,Mix4,0.03,7.05963,2.58498,3.95819,5.23278,6.44957,7.63218,8.79634,9.95343,11.1121,12.2792,13.4601,14.6593,15.8803,19.6978,26.6062,33.9705,41.2801,48.3349,55.7671
new,Mix4,0.04,7.08410,3.87273,7.35715,11.3594,15.8538,20.8273,26.2719,32.1817,38.5522,45.3798,52.6617,60.3965,68.5839,95.8922,151.193,221.169,309.082,414.602,531.857
new,Mix4,0.05,7.09924,4.9361,10.8019,18.5707,28.3621,40.3089,54.5384,71.1662,90.2938,112.009,136.39,163.504,193.419,300.758,546.921,910.245,1449.26,2189.94,3055.81
new,Mix4,0.06,7.11076,5.40419,12.9317,23.9135,38.8893,58.4244,83.0751,113.37,149.798,192.808,242.805,300.161,365.232,610.525,1222.5,2225.44,3886.16,6373.65,9382.84
new,Mix4,0.08,7.12697,5.34463,13.8533,27.5505,47.806,76.1215,114.067,163.229,225.172,301.403,393.36,502.414,629.9,1136.94,2520.53,5028.22,9558.26,16671.7,25190.1
new,Mix4,0.1,7.13844,5.10299,13.2923,26.7453,47.058,76.0586,115.756,168.291,235.893,320.837,425.41,551.892,702.553,1322.9,3091.27,6330.17,12255.6,22279.5,36163.5
new,Mix4,0.15,7.15710,3.95454,10.0955,20.46,36.4357,59.6181,91.7626,134.737,190.474,260.929,348.038,453.704,579.79,1099.26,2575.34,5279.61,10253.1,18621.1,29861.9
new,Mix4,0.2,7.16530,3.38189,8.25702,16.3554,28.6388,46.1766,70.1015,101.57,141.726,191.671,252.442,325.009,410.28,751.177,1674.26,3295.78,6104.37,10300.4,14976.9
new,Mix4,0.3,7.17754,2.94474,6.57237,12.1972,20.2505,31.1875,45.4628,63.5115,85.736,112.495,144.099,180.81,222.846,382.727,776.196,1388.82,2345.88,3702.84,5218.86
new,Mix4,0.356,7.18155,2.79088,6.00353,10.8372,17.5806,26.5293,37.967,52.153,69.314,89.6393,113.279,140.347,170.925,284.316,551.61,949.783,1547.79,2364.38,3243.35
new,Mix4,0.4,7.18402,2.6862,5.62822,9.95988,15.8899,23.6268,33.363,45.2663,59.4744,76.0922,95.1926,116.82,140.994,228.847,428.778,715.793,1132.82,1684.12,2257.3
new,Mix4,0.5,7.18741,2.52553,5.03161,8.56017,13.2122,19.0852,26.2622,34.8082,44.7672,56.1633,69.0013,83.2702,98.9478,154.148,273.093,433.68,653.793,930.414,1206.98
new,Mix4,0.511,7.18754,2.51022,4.97788,8.43859,12.9859,18.7099,25.6866,33.9745,43.6122,54.6191,66.9965,80.7312,95.7988,148.708,262.214,414.785,623.112,884.077,1144.4
new,Mix4,0.6,7.18928,2.39721,4.58884,7.56992,11.3865,16.0817,21.688,28.2243,35.6963,44.0962,53.4056,63.597,74.6377,112.523,190.723,291.752,424.983,586.787,744.016
new,Mix4,0.662,7.19316,2.33979,4.38963,7.12808,10.582,14.7766,19.7286,25.4443,31.9196,39.1406,47.0854,55.7263,65.0322,96.6415,160.891,242.703,349.16,476.924,600.311
new,Mix4,0.8,7.19095,2.22971,4.01911,6.32302,9.13988,12.4688,16.3044,20.6354,25.445,30.7114,36.4094,42.5117,48.9906,70.4417,112.258,163.288,227.147,300.983,370.088
new,Mix4,1,7.19193,2.11794,3.65067,5.54214,7.77511,10.3357,13.2091,16.3786,19.8254,23.5295,27.4701,31.6262,35.9783,50.0455,76.4299,107.321,144.443,185.93,224.162
new,Mix4,1.173,6.73502,2.07671,3.50736,5.23522,7.24007,9.50601,12.0175,14.7584,17.7118,20.8604,24.1869,27.6745,31.3077,42.9549,64.5527,89.571,119.437,153.017,184.867
