condition,value,E_MeV,d_min_mfp,d_max_mfp,spread_primary_pct,spread_broad_pct,best_mix_primary,best_mix_broad,worst_mix_broad,spearman_primary_vs_broad
areal_mass_g_cm2,20,5,0.5788,0.58362,0.48316,0.13104,2,10,4,0.10303
areal_mass_g_cm2,20,6,0.52804,0.53192,0.38875,0.14455,2,2,4,0.33333
areal_mass_g_cm2,50,0.02,31.384,33.225,530.69,648.86,4,4,2,1
areal_mass_g_cm2,50,0.03,15.954,16.446,63.493,100.07,4,4,10,1
areal_mass_g_cm2,50,0.04,12.034,12.237,22.507,52.331,5,4,10,0.93939
areal_mass_g_cm2,50,0.05,10.476,10.6,13.298,34.715,5,4,10,0.89091
areal_mass_g_cm2,50,0.06,9.6487,9.7377,9.3081,27.456,5,5,10,0.56364
areal_mass_g_cm2,50,0.08,8.7264,8.7878,6.3271,20.647,2,5,10,0.10303
areal_mass_g_cm2,50,0.1,8.144,8.2155,7.4118,17.871,2,5,10,0.10303
areal_mass_g_cm2,50,0.15,7.2043,7.2782,7.6591,12.994,2,5,10,0.23636
areal_mass_g_cm2,50,0.2,6.5655,6.6357,7.2723,10.645,2,5,10,0.29697
areal_mass_g_cm2,50,0.3,5.689,5.7515,6.4441,7.9741,2,5,10,0.63636
areal_mass_g_cm2,50,0.356,5.33,5.3889,6.0616,7.0232,2,5,10,0.67273
areal_mass_g_cm2,50,0.4,5.0909,5.1473,5.8021,6.3541,2,5,10,0.67273
areal_mass_g_cm2,50,0.5,4.6467,4.6983,5.3007,5.2388,2,5,10,0.73333
areal_mass_g_cm2,50,0.511,4.6041,4.6554,5.2586,5.1484,2,5,10,0.73333
areal_mass_g_cm2,50,0.6,4.2964,4.3442,4.9013,4.4697,2,5,10,0.80606
areal_mass_g_cm2,50,0.662,4.1136,4.1594,4.697,4.1045,2,5,10,0.80606
areal_mass_g_cm2,50,0.8,3.7728,3.8149,4.2947,3.4034,2,5,10,0.85455
areal_mass_g_cm2,50,1,3.3919,3.4298,3.8575,2.6824,2,5,10,0.92727
areal_mass_g_cm2,50,1.173,3.1338,3.1688,3.5671,1.5301,2,5,10,0.78182
areal_mass_g_cm2,50,1.33,2.9381,2.9708,3.3344,0.68517,2,2,4,1
areal_mass_g_cm2,50,1.5,2.7606,2.7913,3.1228,0.83653,2,2,4,1
areal_mass_g_cm2,50,2,2.3691,2.3949,2.6136,0.79228,2,2,4,0.97576
areal_mass_g_cm2,50,2.51,2.0937,2.116,2.2602,0.74566,2,2,4,1
areal_mass_g_cm2,50,3,1.9006,1.92,1.9538,0.67198,2,2,4,0.44242
areal_mass_g_cm2,50,4,1.627,1.6421,1.5265,0.61063,2,2,4,1
areal_mass_g_cm2,50,5,1.447,1.459,1.2123,0.56878,2,2,4,1
